ID,Industry,Age,Sex,Are you a First Nation member?,Education,years,days,workhours,rechours,"Work (office) postal code? First three digits only: (if you are uncomfortable with, or do not know the postal code, please include the region instead)",OffSite,INSPQriskOFF,"Work (site - outdoors) postal code? First three digits only: (if you are uncomfortable with, or do not know the postal code, please include the region instead)",OnSite,INSPQriskON,RiskScore,RegionOFF
F111,Forestry,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,4-7 hours,J0E,Brome-Missisquoi,2,J0E,Brome-Missisquoi,2,14,Estrie
F112,Forestry,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,4-7 hours,G6B,Le Granit,1.5,Estrie-Montérégie,Multiple,2,15,Multiple
F113,Unknown,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,more than 7 hours,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,8,Chaudière-Appalaches
F114,Forestry,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,4-7 hours,more than 7 hours,g6b,Le Granit,1.5,,Le Granit,1.5,8.5,Estrie
F115,Unknown,25-34 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,4-7 hours,H2L,Montréal,2.5,J0L,Roussillon,2,20.5,Montérégie
F117,Recreation,45-54 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,more than 7 hours,G3C,Stoneham-et-Tewkesbury,1,G3C,Stoneham-et-Tewkesbury,1,7.5,Capitale Nationale
F118,Biology,45-54 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,0-3 hours,4-7 hours,J4K 2T5,Longueuil,3,Montérégie,Montérégie,2,6,Montérégie
F119,Education,45-54 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,more than 7 hours,g0j1j0,Causapscal,1,g0j,La Haute-Gaspésie,1,14.5,Gaspésie–Îles-de-la-Madeleine
F12,Unknown,25-34 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,4-7 hours,J3G,Beloeil,1,,Beloeil,1,13,Montérégie
F120,Government,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,4-7 hours,4-7 hours,g3c,Stoneham-et-Tewkesbury,1,g3c,Stoneham-et-Tewkesbury,1,11.5,Capitale Nationale
F121,Government,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,G3C,Stoneham-et-Tewkesbury,1,G3C,Stoneham-et-Tewkesbury,1,5.5,Capitale Nationale
F122,Forestry,35-44 years ,Female,No,Certificate or diploma from a trade school (D.E.P.),8+ years,4-5 days ,more than 7 hours,4-7 hours,Lac-Mégantic,Lac-Megantic,2,Région du Granit,Le Granit,1.5,9.5,Estrie
F123,Forestry,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,more than 7 hours,G8Z,Trois-Rivières,2,,Trois-Rivières,2,10,Mauricie et Centre-du-Québec
F124,Forestry,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,1-3 days,4-7 hours,more than 7 hours,J1H,Sherbrooke,3,J1H,Sherbrooke,3,12.5,Estrie
F125,Biology,35-44 years ,Female,No,postgraduate degree,,4-5 days ,more than 7 hours,4-7 hours,j4k,Longueuil,3,Montérégie,Montérégie,2,16,Montérégie
F126,Forestry,25-34 years ,Male,No,postgraduate degree,4-7 years ,4-5 days ,0-3 hours,4-7 hours,G0m,Saint-Georges,2,,Saint-Georges,2,13,Chaudière-Appalaches
F127,Unknown,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G0K,Bas-Saint-Laurent,1,Bas-Saint-Laurent,Bas-Saint-Laurent,1,9,Bas-Saint-Laurent
F128,Biology,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G0C,Gaspésie--Îles-de-la-Madeleine,1,Péninsule Gaspésienne,Gaspésie--Îles-de-la-Madeleine,1,6.5,Gaspésie–Îles-de-la-Madeleine
F129,Forestry,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,4-7 hours,G0R 3M0,Saint-Magloire,1,G0R - CHAUDIÈRES-APPALACHES,Chaudière-Appalaches,1.5,7.5,Chaudière-Appalaches
F13,Environment,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,more than 7 hours,G4X,Gaspé,1,G4X,Gaspé,1,5.5,Gaspésie–Îles-de-la-Madeleine
F130,Biology,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,0-3 hours,4-7 hours,Montréal,Montréal,2.5,Montréal-Estrie-Chaudière-Appalaches,Multiple,2,8.5,Multiple
F131,Forestry,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,6-7 days,more than 7 hours,4-7 hours,G1S,Quebec City,2,Forêt Québecoise,Multiple,2,16,Multiple
F132,Forestry,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G1S,Quebec City,2,FORET QUEBEC,Multiple,2,5.5,Multiple
F133,Forestry,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,7,Chaudière-Appalaches
F134,Unknown,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,more than 7 hours,G1R,Quebec City,2,Chaudière-Appalaches et Estrie,Multiple,2,5.5,Multiple
F135,Biology,45-54 years ,Female,No,postgraduate degree,8+ years,4-5 days ,4-7 hours,4-7 hours,G1E,Quebec City,2,Côte-de-Beaupré et Charlevoix,Multiple,2,3.5,Multiple
F136,Forestry,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,0-3 hours,more than 7 hours,J1S,Windsor,2,Estrie,Estrie,2,9.5,Estrie
F137,Forestry,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,0-3 hours,more than 7 hours,J1S3A7,Windsor,2,J1S3A7,Windsor,2,15,Estrie
F139,Forestry,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G1S,Quebec City,2,"Mauricie, Capitale-Nationale, Côte-Nord, Gaspésie",Multiple,2,3,Multiple
F14,Biology,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,4-7 hours,J0E,Brome-Missisquoi,2,,Brome-Missisquoi,2,15,Estrie
F140,Forestry,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,more than 7 hours,g0r,Saint-Magloire,1,"Latuque, montérigie, estrie, beauce et centre du quebec",Multiple,2,10.5,Multiple
F141,Forestry,25-34 years ,Male,Yes,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,more than 7 hours,more than 7 hours,G0A,Quebec City,2,Capitale Nationale,Capitale Nationale,1.5,15.5,Capitale Nationale
F142,Forestry,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,more than 7 hours,j1s3a7,Windsor,2,estrie,Estrie,2,7,Estrie
F143,Biology,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,G4X,Gaspé,1,Région de la Gaspésie au complet,Gaspésie--Îles-de-la-Madeleine,1,5.5,Gaspésie–Îles-de-la-Madeleine
F144,Forestry,35-44 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,more than 7 hours,more than 7 hours,J9Z,La Sarre,1,ABITIBI,Abitibi-Témiscamingue,1,6.5,Abitibi-Témiscamingue
F145,Unknown,25-34 years ,Male,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,more than 7 hours,J9A,Gatineau,3,JOX,Pontiac,2.5,14.5,Outaouais
F146,Maintenance,35-44 years ,Male,No,Certificate or diploma from a trade school (D.E.P.),8+ years,4-5 days ,more than 7 hours,more than 7 hours,G5J,Amqui,1,Gaspesie,Gaspesie,1,12,Gaspésie–Îles-de-la-Madeleine
F147,Forestry,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,0-3 hours,0-3 hours,J5T,Lavaltrie,1,Montérégie,Montérégie,2,16.5,Montérégie
F148,Environment,25-34 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,4-7 hours,J2G,Granby,3,J2G,Granby,3,13,Estrie
F149,Education,35-44 years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,6-7 days,4-7 hours,more than 7 hours,G6B,Le Granit,1.5,Surtout dans les forêts de la MRC du Granit.,Le Granit,1.5,8.5,Estrie
F15,Education,45-54 years ,Female,No,postgraduate degree,8+ years,4-5 days ,more than 7 hours,more than 7 hours,J0E 2K0,Sutton,3,J0E 2K0,Sutton,3,8,Estrie
F150,Forestry,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,1-3 days,0-3 hours,more than 7 hours,G3Z,Baie-Saint-Paul,1,G3Z,Baie-Saint-Paul,1,8,Capitale Nationale
F151,Forestry,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,1-3 days,4-7 hours,4-7 hours,G9N,Shawinigan,2,"G0X, J0K",Multiple,2,8.5,Multiple
F152,Forestry,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,1-3 days,4-7 hours,more than 7 hours,J8H,Lachute,2,Laurentides,Laurentides,1.5,16,Laurentides
F153,Forestry,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,4-7 hours,Estrie,Estrie,2,Estrie,Estrie,2,6.5,Estrie
F154,Forestry,35-44 years ,Female,No,High school diploma or equivalent (D.E.S.) ,8+ years,4-5 days ,more than 7 hours,more than 7 hours,G4V,Sainte-Anne-des-Monts,1,Haute-Gaspésie,Haute-Gaspésie,1,15.5,Gaspésie–Îles-de-la-Madeleine
F155,Unknown,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,0-3 hours,more than 7 hours,Abitibi,Abitibi-Témiscamingue,1,"Abitibi, Laurentides et Outaouais",Multiple,2,4.5,Multiple
F156,Government,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,4-7 hours,more than 7 hours,G3C,Stoneham-et-Tewkesbury,1,G3C,Stoneham-et-Tewkesbury,1,12,Capitale Nationale
F157,Forestry,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,4-7 hours,4-7 hours,J1S,Saint-Claude,1,J1S,Saint-Claude,1,11.5,Estrie
F158,Biology,45-54 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,4-7 hours,more than 7 hours,J6A4X6,Repentigny,1,,Repentigny,1,8,Lanaudière
F159,Biology,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,0-3 hours,J0E 2K0 ,Sutton,3,Réserve Naturelle des Montagnes Vertes Sutton / Bolton / Mansonville,Estrie,2,13.5,Estrie
F16,Environment,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,1-3 days,0-3 hours,4-7 hours,J2L,Bromont,3,J2L,Bromont,3,14.5,Estrie
F160,Biology,35-44 years ,Female,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,more than 7 hours,J1E,Sherbrooke,3,Estrie,Estrie,2,7.5,Estrie
F161,Forestry,55+ years ,Male,No,High school diploma or equivalent (D.E.S.) ,8+ years,4-5 days ,more than 7 hours,more than 7 hours,Ste-Anne-des-Monts ,Sainte-Anne-des-Monts ,1,Ste-Anne dès monts,Sainte-Anne-des-Monts ,1,13.5,Gaspésie–Îles-de-la-Madeleine
F162,Forestry,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,G4V,Sainte-Anne-des-Monts ,1,Gaspésie,Gaspésie,1,8.5,Gaspésie–Îles-de-la-Madeleine
F163,Education,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,more than 7 hours,G4V,Sainte-Anne-des-Monts ,1,G4V,Sainte-Anne-des-Monts ,1,4.5,Gaspésie–Îles-de-la-Madeleine
F164,Forestry,55+ years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,0-3 hours,G0J,Bas-Saint-Laurent,1,Pareil,Bas-Saint-Laurent,1,4,Bas-Saint-Laurent
F165,Environment,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,more than 7 hours,more than 7 hours,montreal,Montréal,2.5,Laurentides et Outaouais,Multiple,2,12,Multiple
F166,Biology,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,G4V1C5,Sainte-Anne-des-Monts,1,région de la Gaspésie,Gaspésie,1,9,Gaspésie–Îles-de-la-Madeleine
F167,Forestry,45-54 years ,Male,No,Certificate or diploma from a trade school (D.E.P.),8+ years,6-7 days,more than 7 hours,4-7 hours,G0P ,Arthabaska,1.5,J0A,Arthabaska,1.5,13.5,Mauricie et Centre-du-Québec
F168,Forestry,35-44 years ,Male,No,Certificate or diploma from a trade school (D.E.P.),4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,G0P,Arthabaska,1.5,ESTRIE,Estrie,2,13,Estrie
F169,Environment,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,4-7 hours,g4v,Sainte-Anne-des-Monts ,1,g4v,Sainte-Anne-des-Monts ,1,8.5,Gaspésie–Îles-de-la-Madeleine
F17,Agriculture,55+ years ,Female,No,postgraduate degree,8+ years,1-3 days,more than 7 hours,4-7 hours,J0J1C0,Frelighsburg,3,J)J1C0,Frelighsburg,3,13.5,Estrie
F170,Education,45-54 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,more than 7 hours,more than 7 hours,G5T 1L3,Degelis,1,G5T 1T7,Degelis,1,10.5,Bas-Saint-Laurent
F171,Biology,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,0-3 hours,more than 7 hours,G1H6R1,Quebec City,2,Charlevoix,Charlevoix,1,8.5,Capitale Nationale
F172,Biology,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,more than 7 hours,J0T,Laurentides-Nord,1,J0T,Laurentides-Nord,1,7.5,Laurentides
F173,Forestry,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,0-3 hours,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,11.5,Chaudière-Appalaches
F174,Maintenance,45-54 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,Estrie,Estrie,2,Estrie,Estrie,2,12.5,Estrie
F175,Environment,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,G3C,Stoneham-et-Tewkesbury,1,G3C,Stoneham-et-Tewkesbury,1,4,Capitale Nationale
F176,Forestry,35-44 years ,Female,No,Certificate or diploma from a trade school (D.E.P.),4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,G0J1M0,Lac-au-Saumon,1,,Lac-au-Saumon,1,6.5,Bas-Saint-Laurent
F177,Forestry,55+ years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,G0R,Sainte-Euphémie-sur-Rivière-du-Sud,1,7.5,Chaudière-Appalaches
F178,Forestry,25-34 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,more than 7 hours,more than 7 hours,J0V,Gore,1,Outaouais/Laurentides,Multiple,2,15,Multiple
F179,Biology,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,4-5 days ,0-3 hours,more than 7 hours,G6X,Lévis,2,chaudière-appalache et capitale-nationale,Multiple,2,8,Multiple
F18,Recreation,55+ years ,Female,No,postgraduate degree,0-3 years,1-3 days,0-3 hours,more than 7 hours,J2n,Farnham,3,J2n,Farnham,3,11.5,Estrie
F180,Environment,25-34 years ,,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,more than 7 hours,Lanaudière,Lanaudière,1.5,Lanaudière,Lanaudière,1.5,11,Lanaudière
F19,Unknown,25-34 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,0-3 hours,4-7 hours,J2L,Bromont,3,,Bromont,3,12.5,Estrie
F2,Unknown,35-44 years ,Male,No,postgraduate degree,4-7 years ,1-3 days,4-7 hours,more than 7 hours,Montréal,Montréal,2.5,Estrie,Estrie,2,10,Estrie
F20,Environment,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,1-3 days,0-3 hours,4-7 hours,J0E,Brome-Missisquoi,2,J0E,Brome-Missisquoi,2,15,Estrie
F21,Biology,35-44 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,4-5 days ,4-7 hours,4-7 hours,J0E,Brome-Missisquoi,2,"Très variable. On se déplace un peu partout en Estrie/Montérégie, genre approximativement de Magog à Granby (est en ouest), et des lignes américaines à Valcourt (du nord au sud).",Multiple,2,9.5,Multiple
F22,Biology,35-44 years ,Female,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,4-7 hours,Montréal,Montréal,2.5,"Montérégie, Estrie, Outaouais, Laurentides, Montréal",Multiple,2,8,Multiple
F23,Recreation,55+ years ,Female,No,High school diploma or equivalent (D.E.S.) ,4-7 years ,1-3 days,0-3 hours,0-3 hours,J2M,Shefford,3,,Shefford,3,10.5,Estrie
F24,Biology,25-34 years ,Female,No,postgraduate degree,4-7 years ,4-5 days ,0-3 hours,0-3 hours,J2G,Granby,3,J2G,Granby,3,12,Estrie
F25,Unknown,55+ years ,Male,No,postgraduate degree,4-7 years ,1-3 days,0-3 hours,more than 7 hours,j2m,Shefford,3,j2m,Shefford,3,9.5,Estrie
F26,Recreation,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",4-7 years ,1-3 days,4-7 hours,more than 7 hours,J2M,Shefford,3,Shefford,Shefford,3,12.5,Estrie
F27,Recreation,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,1-3 days,0-3 hours,4-7 hours,J4P,Saint-Lambert,1,J2M,Shefford,3,15,Estrie
F28,Agriculture,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,0-3 hours,H3C,Montréal,2.5,,Montréal,2.5,8.5,Montréal
